scientific_name,common_name,class_name,order_name,family_name,genus_name,species_name,assessment_year,species_recovery_score_best,species_recovery_category,conservation_legacy_category,conservation_dependence_category,conservation_gain_category,recovery_potential_category,url
Pseudanchomenus aptinoides,Laurocho,INSECTA,COLEOPTERA,CARABIDAE,Pseudanchomenus,aptinoides,2022,42%,Largely Depleted,Medium,Medium,Low,Negative,https://www.iucnredlist.org/species/97117836/99166554
Pseudolaureola atlantica,Spiky Yellow Woodlouse,MALACOSTRACA,ISOPODA,ARMADILLIDAE,Pseudolaureola,atlantica,2024,15%,Critically Depleted,High,High,Zero,High,https://www.iucnredlist.org/species/67368866/67368879
Socotrapotamon socotrense,Socotra Freshwater Crab,MALACOSTRACA,DECAPODA,POTAMIDAE,Socotrapotamon,socotrense,2024,60%,Moderately Depleted,Zero,Indeterminate,Indeterminate,Indeterminate,https://www.iucnredlist.org/species/134507/258464487
Cycas calcicola,walangkirrik,CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas,calcicola,2024,33%,Largely Depleted,Zero,Zero,Zero,Medium,https://www.iucnredlist.org/species/41989/67338115
Dianthus morisianus,,MAGNOLIOPSIDA,CARYOPHYLLALES,CARYOPHYLLACEAE,Dianthus,morisianus,2024,15%,Critically Depleted,Zero,Zero,High,High,https://www.iucnredlist.org/species/177865/7472500
Dorcatragus megalotis,Beira,MAMMALIA,ARTIODACTYLA,BOVIDAE,Dorcatragus,megalotis,2024,35%,Largely Depleted,Zero,Zero,Zero,Indeterminate,https://www.iucnredlist.org/species/6793/50185898
Equus hemionus,Asiatic Wild Ass,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,hemionus,2024,40%,Largely Depleted,High,High,Medium,Medium,https://www.iucnredlist.org/species/7951/238881740
Erythrolamprus ornatus,Saint Lucia Racer,REPTILIA,SQUAMATA,DIPSADIDAE,Erythrolamprus,ornatus,2024,2%,Critically Depleted,High,High,Low,High,https://www.iucnredlist.org/species/12080/115104404
Eudorcas tilonura,Heuglin's Gazelle,MAMMALIA,ARTIODACTYLA,BOVIDAE,Eudorcas,tilonura,2024,25%,Largely Depleted,Low,Low,Zero,Medium,https://www.iucnredlist.org/species/8991/50188182
Euterpe edulis,Juçara,LILIOPSIDA,ARECALES,ARECACEAE,Euterpe,edulis,2024,50%,Largely Depleted,Medium,Medium,Zero,Indeterminate,https://www.iucnredlist.org/species/111457556/161421095
Gazella cuvieri,Cuvier's Gazelle,MAMMALIA,ARTIODACTYLA,BOVIDAE,Gazella,cuvieri,2024,42%,Largely Depleted,Low,Low,Low,Indeterminate,https://www.iucnredlist.org/species/8967/50186003
Gazella leptoceros,Slender-horned Gazelle,MAMMALIA,ARTIODACTYLA,BOVIDAE,Gazella,leptoceros,2024,13%,Critically Depleted,Low,High,Low,Medium,https://www.iucnredlist.org/species/8972/50186909
Gazella spekei,Speke's Gazelle,MAMMALIA,ARTIODACTYLA,BOVIDAE,Gazella,spekei,2024,25%,Largely Depleted,Zero,Zero,Zero,Medium,https://www.iucnredlist.org/species/8975/50187314
Macrobrachium rosenbergii,Giant River Prawn,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Macrobrachium,rosenbergii,2021,100%,Fully Recovered,Zero,Zero,Zero,Zero,https://www.iucnredlist.org/species/197873/2503520
Nanger soemmerringii,Soemmerring's Gazelle,MAMMALIA,ARTIODACTYLA,BOVIDAE,Nanger,soemmerringii,2024,33%,Largely Depleted,Low,Low,Zero,Medium,https://www.iucnredlist.org/species/63541/50197739
