title,creators,publication_date,publisher_country,distributor_country,publisher,distributor,doi,url
A new species and new records of minuta - group Gnamptogenys from Brazil (Hymenoptera: Formicidae),Amanda M. Dias; John E. Lattke,2018-11-02,SWITZERLAND,,Plazi,,10.1016/j.rbe.2018.10.002,
Taxonomy of the genus Autosticha Meyrick (Lepidoptera: Autostichidae) in China Descriptions of fifteen new species,Zhulin Tao; Yuqi Wang; Shuxia Wang,2021-10-07,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.5048.3.3,
"A survey of basal insects (Microcoryphia and Zygentoma) from subterranean environments of Iran, with description of three new species",Rafael Molero; Mohadeseh Sadat Tahami; Miquel Gaju; Saber Sadeghi,2018-12-31,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.3897/zookeys.806.27320,
Hymenopterologische Studien. 1. Formicariae.,A. Förster,1850-12-31,SWITZERLAND,,Plazi,,10.15468/eueibu,
Adaptive Radiation in Socially Advanced Stem-Group Ants from the Cretaceous,,2016-12-31,SWITZERLAND,,Plazi,,10.1016/j.cub.2015.12.060,
"Notes on the species of Plagiodera CHEVROLAT, 1836 of the Australian, Oceanic and Oriental regions, with a description of P. hiekei n. sp. (Coleoptera, Chrysomelidae)",,2016-12-31,SWITZERLAND,,Plazi,,10.5281/zenodo.3095951,
"New genus and new species of Cumacea (Crustacea: Peracarida) from the mesophotic coral ecosystem of SW Puerto Rico, Caribbean Sea",Iorgu Petrescu; Tapas Chatterjee; Nikolaos V. Schizas,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.211298,
"Drilorhinus, a new genus of the family Drilidae Lacordaire, 1857 (Coleoptera: Elateroidea) from Iran",Alexey V. Kovalev; Alexander G. Kirejtshuk; Andrey M. Shapovalov,2019-04-04,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4577.1.12,
A revision of the Thyropygus allevatus group. Part 1: the T. opinatus subgroup (Diplopoda: Spirostreptida: Harpagophoridae),Piyatida Pimvichai; Henrik Enghoff; Somsak Panha,2009-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.185971,
"Monograph of Ceratozamia (Zamiaceae, Cycadales): an endangered genus",Lili Martinez-Dominguez; Fernando Nicolalde-Morejon; Francisco Vergara-Silva; Dennis Wm. Stevenson,2022-09-21,BULGARIA,SWITZERLAND,Pensoft Publishers,Plazi,10.15468/r6dcqr,
"Three new species of eriophyid mites from Wanglang Nature Reserve, Sichuan, China (Acari: Eriophyidae)",Manchao Xie,2018-12-31,SWITZERLAND,,Plazi,,10.11865/zs.201837,
"Aradidae from Vietnam II. Longitergus, a new genus and two new species of micropterous Mezirinae (Hemiptera: Heteroptera: Aradidae)",Minhlan Pham; Xiaoshuan Bai; Ernst Heiss; Wanzhi Cai,2013-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3709.6.5,
"A new species and additional records of the genus Lathrobium Gravenhorst, 1802 from Palaearctic region (Coleoptera: Staphylinidae: Paederinae)",Sinan Anlas,2013-03-31,SWITZERLAND,,Plazi,,10.15468/gmu26a,
List of the specimens of British animals in the collection of the British Museum. Part VI. - Hymenoptera Aculeata.,F. Smith,1851-12-31,SWITZERLAND,,Plazi,,10.15468/7vfwg4,
A new genus and two new species in the tribe Selizini (Hemiptera: Fulgoromorpha: Flatidae) with a checklist for the tribe from China,Deqiang Ai; Yinglun Wang; Yalin Zhang,2019-06-10,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4614.2.6,
"A new fossil genus of net-winged beetles, with a brief review of amber Lycidae (Insecta: Coleoptera)",Sergey V. Kazantsev,2013-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3608.1.8,
"A new percoid fish from the Eocene of Monte Bolca, Italy: Hendrixella grandei gen. & sp. nov.",,2009-12-31,SWITZERLAND,,Plazi,,10.1007/s00015-009-1331-3,
The selective drivers of allometry in sharks (Chondrichthyes: Elasmobranchii),Joel H Gayford; Darren A Whitehead; James T Ketchum; Daniel J Field,2023-05-01,SWITZERLAND,,Plazi,,10.15468/qvx2ae,
Systema Dipterorum,,2023-05-27,UNITED_STATES,DENMARK,Bishop Museum,Natural History Museum of Denmark,10.15468/k7gwad,
New species of Grotea Cresson (Hymenoptera: Ichneumonidae: Labeninae) from Brazil and Suriname,Andrés Fabián Herrera-Flórez; Angelica Penteado-Dias,2019-06-04,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4613.1.2,
The identity of shield bugs described by Francis Walker from Taiwan (Hemiptera: Heteroptera: Pentatomidae),Jing-Fu Tsai; Dávid Rédei,2009-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.188737,
Systematic revision of the North American velvet ant genus Invreiella Suárez (Hymenoptera: Mutillidae) with description of eleven new species,George C. Waldren; Kevin A. Williams; Roberto A. Cambra; James P. Pitts,2020-12-09,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4894.2.1,
"The millipede family Diplomaragnidae Attems, 1907 confirmed for mainland China, with descriptions of a new genus and new species (Diplopoda, Chordeumatida)",Elena V. Mikhaljova,2022-12-08,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/g3na5g,
